,freq,power_spectrum,thd
0,300,118.47334888539324,0.995%
1,500,118.47391897909398,0.890%
2,800,118.4737612757558,0.990%
3,1000,118.47362984632366,1.000%
4,2000,118.47349615355084,0.663%
5,3000,118.47270785735078,0.659%
6,5000,118.47275583106358,0.000%
7,7500,118.47407386245102,0.000%
